Season;Week;Home or Away;Opponent;Outcome
Preseason;1;Home;CHI;L
Preseason;2;Away;ARI;W
Preseason;3;Home;DAL;W
Preseason;4;Away;TB;L
Regular Season;1;Away;KC;L
Regular Season;2;Away;CHI;W
Regular Season;3;Away;BUF;L
Regular Season;4;Away;MIA;L
Regular Season;5;Home;NE;L
Regular Season;6;Home;BAL;L
Regular Season;7;Home;LA;L
Regular Season;8;Home;HOU;L
Regular Season;9;Away;NYG;W
Regular Season;10;Away;NE;W
Regular Season;11;Home;MIA;W
Regular Season;12;Home;SD;W
Regular Season;13;Home;BUF;W
Regular Season;14;Away;BAL;W
Regular Season;3;Away;BUF;L
Regular Season;4;Away;MIA;L
Regular Season;5;Away;NE;W
Regular Season;6;Away;PIT;L
Regular Season;7;Home;DEN;L
Regular Season;8;Home;MIA;L
Regular Season;9;Home;NE;W
Regular Season;10;Away;CIN;L
Regular Season;11;Home;ATL;L
Regular Season;12;Home;BAL;W
Regular Season;13;Away;PHI;L
Regular Season;14;Home;BUF;L
Preseason;1;Away;SF;W
Preseason;2;Home;NO;W
Preseason;3;Home;ARI;W
Preseason;4;Away;DAL;W
Regular Season;1;Home;CHI;W
Regular Season;2;Home;KC;W
Regular Season;3;Away;NE;L
Regular Season;4;Home;TEN;W
Regular Season;5;Away;MIN;L
Regular Season;6;Home;IND;W
Regular Season;7;Away;DEN;L
Regular Season;8;Home;DET;W
Regular Season;10;Away;JAX;W
Regular Season;11;Away;OAK;L
Regular Season;12;Home;SD;L
Regular Season;13;Away;GB;L
Regular Season;14;Away;IND;W
Regular Season;15;Home;JAX;W
Regular Season;16;Home;CIN;W
Regular Season;17;Away;TEN;L
Postseason;18;Home;OAK;W
Postseason;19;Away;NE;L
Preseason;1;Home;SF;W
Preseason;2;Home;DEN;L
Preseason;3;Away;NO;W
Preseason;4;Away;DAL;L
Preseason;1;Away;ARI;L
Preseason;2;Home;ATL;W
Preseason;3;Away;DEN;W
Preseason;4;Home;SF;L
Regular Season;1;Home;WAS;W
Regular Season;2;Away;OAK;W
Regular Season;3;Away;NYG;L
Regular Season;4;Home;BUF;W
Regular Season;5;Away;DAL;L
Regular Season;6;Home;IND;L
Regular Season;7;Away;PIT;L
Regular Season;8;Away;TEN;W
Regular Season;9;Home;PHI;L
Regular Season;11;Away;CLE;W
Regular Season;12;Home;CIN;L
Regular Season;13;Home;TEN;W
Regular Season;14;Away;JAC;W
Regular Season;15;Away;IND;L
Regular Season;16;Home;BAL;W
Regular Season;17;Home;JAC;W
Regular Season;1;Home;TEN;W
Regular Season;2;Away;HOU;W
Regular Season;3;Home;NE;L
Regular Season;5;Away;SD;W
Regular Season;6;Home;JAC;L
Regular Season;7;Away;CIN;W
Regular Season;8;Home;BAL;W
Regular Season;9;Away;GB;W
Regular Season;10;Home;CLE;W
Regular Season;11;Away;BAL;L
Regular Season;12;Away;IND;L
Regular Season;13;Home;CIN;L
Regular Season;14;Home;CHI;W
Regular Season;15;Away;MIN;W
Regular Season;16;Away;CLE;W
Regular Season;17;Home;DET;W
Postseason;18;Away;CIN;W
Postseason;19;Away;IND;W
Postseason;20;Away;DEN;W
Postseason;21;Home;SEA;W
Regular Season;1;Home;OAK;W
Regular Season;2;Away;BAL;L
Regular Season;3;Away;MIA;W
Regular Season;4;Home;CIN;W
Regular Season;5;Home;CLE;W
Regular Season;6;Away;DAL;W
Regular Season;8;Home;NE;W
Regular Season;9;Home;PHI;W
Regular Season;10;Away;CLE;W
Regular Season;11;Away;CIN;W
Regular Season;12;Home;WAS;W
Regular Season;13;Away;JAC;W
Regular Season;14;Home;NYJ;W
Regular Season;15;Away;NYG;W
Regular Season;16;Home;BAL;W
Regular Season;17;Away;BUF;W
Postseason;19;Home;NYJ;W
Postseason;20;Home;NE;L
Regular Season;1;Home;BAL;W
Regular Season;2;Away;KC;L
Regular Season;3;Away;CIN;W
Regular Season;4;Home;TEN;L
Regular Season;5;Home;CLE;L
Regular Season;6;Away;DEN;L
Regular Season;8;Home;STL;L
Regular Season;9;Away;SEA;L
Regular Season;10;Home;ARI;W
Regular Season;11;Away;SF;L
